6637,2,177,54,282,111.54,2800.1
6638,2,185,57,283,119.00,2800.1
6639,2,156,55,258,126.66,2800.1
6640,2,160,62,267,134.11,2800.1
6641,2,153,59,260,141.82,2800.1
6642,2,126,54,226,149.29,2800.1
6643,2,126,56,223,156.28,2800.1
6644,2,128,54,228,163.09,2800.1
6645,2,133,56,230,169.84,2800.1
6646,2,180,56,282,176.70,2800.1
6647,2,176,57,274,184.42,2800.1
6648,2,123,58,228,192.05,2800.1
6649,2,115,56,219,199.19,2800.1
6650,2,123,59,227,206.03,2800.1
6651,2,115,56,217,213.18,2800.1
6652,2,155,60,270,219.84,2800.1
6653,2,151,59,264,227.77,2800.1
6654,2,156,60,267,235.51,2800.1
6655,2,175,61,289,243.42,2800.1
6656,2,188,59,298,251.66,2800.1
6657,2,185,58,303,260.07,2800.1
6658,2,161,57,268,268.52,2800.1
6659,2,207,59,317,276.30,2800.1
6660,2,204,59,311,284.80,2800.1
6661,2,135,59,245,293.25,2800.1
6662,2,175,56,281,300.54,2800.1
6663,2,176,59,283,308.59,2800.1
6664,2,126,59,237,316.67,2800.1
6665,2,123,60,238,324.20,2800.1
6666,2,124,59,235,331.61,2800.1
6667,2,122,58,253,338.60,2800.1
6668,2,131,59,246,346.06,2800.1
6669,2,123,58,231,353.55,2800.1
6670,2,150,63,267,0.69,2800.1
6671,2,147,55,253,8.15,2800.1
6672,2,153,59,262,15.57,2800.1
6673,2,153,56,260,23.22,2800.1
6674,2,152,58,269,30.54,2800.1
6675,2,150,55,255,38.12,2800.1
6676,2,164,57,269,45.21,2800.1
6677,2,183,57,292,52.63,2800.1
6678,2,223,58,331,60.60,2800.1
