6610,1,265,54,367,331.96,2800.1
6611,1,227,55,328,341.04,2800.1
6612,1,231,53,332,349.41,2800.1
6613,1,266,58,368,357.58,2800.1
6614,1,270,53,367,7.03,2800.1
6615,1,280,54,374,15.67,2800.1
6616,1,292,54,394,24.66,2800.1
6617,1,289,56,394,34.25,2800.1
6618,1,313,53,412,43.86,2800.1
6619,1,313,61,425,53.60,2800.1
6620,1,307,54,404,63.63,2800.1
6621,1,283,55,386,73.26,2800.1
6622,1,260,52,354,82.33,2800.1
6623,1,262,57,367,91.20,2800.1
6624,1,238,51,337,100.06,2800.1
6625,1,230,51,328,108.29,2800.1
6626,1,269,55,363,115.95,2800.1
6627,1,269,55,370,125.12,2800.1
6628,1,271,54,376,134.01,2800.1
6629,1,287,54,394,143.35,2800.1
6630,1,289,57,393,152.99,2800.1
6631,1,307,53,407,162.75,2800.1
6632,1,312,55,418,172.50,2800.1
6633,1,307,56,409,182.49,2800.1
6634,1,284,54,387,192.39,2800.1
6635,1,261,54,358,201.75,2800.1
6636,1,260,55,365,210.77,2800.1
6637,1,224,56,329,220.08,2800.1
6638,1,227,53,324,228.48,2800.1
6639,1,264,57,364,236.77,2800.1
6640,1,266,53,370,246.05,2800.1
6641,1,264,61,375,255.24,2800.1
6642,1,289,55,386,264.49,2800.1
6643,1,292,55,395,274.02,2800.1
6644,1,309,55,409,283.56,2800.1
6645,1,314,55,418,293.39,2800.1
6646,1,305,55,414,303.47,2800.1
6647,1,278,53,379,313.60,2800.1
6648,1,257,57,368,322.91,2800.1
